書	章	節	簡體	我們	他們	和合本	裁決
撒母耳記下	4	12	仑	崙	侖	崙	他們錯
撒母耳記下	5	1	仑	崙	侖	崙	他們錯
撒母耳記下	5	3	仑	崙	侖	崙	他們錯
撒母耳記下	5	5	仑	崙	侖	崙	他們錯
撒母耳記下	5	13	仑	崙	侖	崙	他們錯
撒母耳記下	5	13	后	後	后	后	我們錯
撒母耳記下	5	18	布	布	佈	布	他們錯
撒母耳記下	5	20	冲	沖	衝	沖	他們錯
撒母耳記下	5	22	布	布	佈	布	他們錯
撒母耳記下	6	3	抬	擡	抬	抬	我們錯
撒母耳記下	6	4	抬	擡	抬	抬	我們錯
撒母耳記下	6	12	抬	擡	抬	抬	我們錯
撒母耳記下	6	13	抬	擡	抬	抬	我們錯
撒母耳記下	6	15	抬	擡	抬	抬	我們錯
撒母耳記下	12	4	舍	舍	捨	捨	我們錯
撒母耳記下	13	8	面	麵	麪	麵	他們錯
撒母耳記下	13	18	彩	彩	綵	彩	他們錯
撒母耳記下	13	19	彩	彩	綵	彩	他們錯
撒母耳記下	13	28	注	註	注	注	我們錯
撒母耳記下	14	25	瑕	瑕	暇	瑕	他們錯
撒母耳記下	14	29	托	托	託	託	我們錯
撒母耳記下	14	32	托	托	託	託	我們錯
撒母耳記下	15	7	仑	崙	侖	崙	他們錯
撒母耳記下	15	9	仑	崙	侖	崙	他們錯
撒母耳記下	15	10	仑	崙	侖	崙	他們錯
撒母耳記下	15	24	抬	擡	抬	抬	我們錯
撒母耳記下	15	25	抬	擡	抬	抬	我們錯
撒母耳記下	15	29	抬	擡	抬	抬	我們錯
撒母耳記下	15	30	蒙	蒙	矇	蒙	他們錯
撒母耳記下	15	36	托	托	託	託	我們錯
撒母耳記下	16	1	面	麵	麪	麵	他們錯
撒母耳記下	16	2	面	麵	麪	麵	他們錯
撒母耳記下	17	28	谷	穀	谷	穀	他們錯
撒母耳記下	17	28	面	麵	面	麵	他們錯
撒母耳記下	17	29	困	困	睏	困	他們錯
撒母耳記下	17	29	饥	饑	飢	飢	我們錯
撒母耳記下	18	14	杆	桿	杆	杆	我們錯
撒母耳記下	18	29	哗	嘩	譁	嘩	他們錯
撒母耳記下	19	35	尝	嘗	嚐	嘗	他們錯
撒母耳記下	21	19	恒	恒	恆	恆	我們錯
撒母耳記下	22	2	岩	巖	岩	巖	他們錯
撒母耳記下	22	16	出	出	齣	出	他們錯
撒母耳記下	22	30	冲	沖	衝	衝	我們錯
撒母耳記下	23	14	恒	恒	恆	恆	我們錯
撒母耳記下	23	15	恒	恒	恆	恆	我們錯
撒母耳記下	23	16	恒	恒	恆	恆	我們錯
撒母耳記下	23	24	恒	恒	恆	恆	我們錯
歷代志上	1	12	托	托	託	託	我們錯
歷代志上	1	42	干	干	幹	干	他們錯
歷代志上	1	42	辟	辟	闢	辟	他們錯
歷代志上	2	7	干	干	幹	干	他們錯
歷代志上	2	42	仑	崙	侖	崙	他們錯
歷代志上	2	43	仑	崙	侖	崙	他們錯
歷代志上	2	44	干	干	幹	干	他們錯
歷代志上	2	51	恒	恒	恆	恆	我們錯
歷代志上	2	54	恒	恒	恆	恆	我們錯
歷代志上	3	1	仑	崙	侖	崙	他們錯
歷代志上	3	4	仑	崙	侖	崙	他們錯
歷代志上	3	23	干	干	幹	干	他們錯
歷代志上	4	4	恒	恒	恆	恆	我們錯
歷代志上	4	8	仑	崙	侖	崙	他們錯
歷代志上	4	22	恒	恒	恆	恆	我們錯
歷代志上	4	29	辟	辟	闢	辟	他們錯
歷代志上	5	13	干	干	幹	干	他們錯
歷代志上	6	55	仑	崙	侖	崙	他們錯
歷代志上	6	57	仑	崙	侖	崙	他們錯
歷代志上	6	58	仑	崙	侖	崙	他們錯
歷代志上	6	68	仑	崙	侖	崙	他們錯
歷代志上	6	69	仑	崙	侖	崙	他們錯
歷代志上	7	1	仑	崙	侖	崙	他們錯
歷代志上	7	13	辟	辟	闢	辟	他們錯
歷代志上	7	24	仑	崙	侖	崙	他們錯
歷代志上	8	9	干	干	幹	干	他們錯
歷代志上	8	13	仑	崙	侖	崙	他們錯
歷代志上	8	38	干	干	幹	干	他們錯
歷代志上	9	27	托	托	託	託	我們錯
歷代志上	9	29	面	麵	麪	麵	他們錯
歷代志上	9	44	干	干	幹	干	他們錯
歷代志上	11	1	仑	崙	侖	崙	他們錯
歷代志上	11	3	仑	崙	侖	崙	他們錯
歷代志上	11	16	恒	恒	恆	恆	我們錯
歷代志上	11	17	恒	恒	恆	恆	我們錯
歷代志上	11	18	恒	恒	恆	恆	我們錯
歷代志上	11	26	恒	恒	恆	恆	我們錯
歷代志上	12	23	仑	崙	侖	崙	他們錯
歷代志上	12	38	仑	崙	侖	崙	他們錯
歷代志上	12	40	干	乾	幹	乾	他們錯
歷代志上	12	40	面	麵	面	麵	他們錯
歷代志上	13	7	抬	擡	抬	抬	我們錯
歷代志上	14	3	后	後	后	后	我們錯
歷代志上	14	9	布	布	佈	布	他們錯
歷代志上	14	11	冲	沖	衝	沖	他們錯
歷代志上	14	13	布	布	佈	布	他們錯
歷代志上	15	2	抬	擡	抬	抬	我們錯
歷代志上	15	3	抬	擡	抬	抬	我們錯
歷代志上	15	9	仑	崙	侖	崙	他們錯
歷代志上	15	12	抬	擡	抬	抬	我們錯
歷代志上	15	13	抬	擡	抬	抬	我們錯
歷代志上	15	14	抬	擡	抬	抬	我們錯
歷代志上	15	15	抬	擡	抬	抬	我們錯
歷代志上	15	15	杠	杠	槓	槓	我們錯
歷代志上	15	25	抬	擡	抬	抬	我們錯
歷代志上	15	26	抬	擡	抬	抬	我們錯
歷代志上	15	27	抬	擡	抬	抬	我們錯
歷代志上	15	28	抬	擡	抬	抬	我們錯
歷代志上	16	20	游	遊	游	游	我們錯
歷代志上	19	6	雇	雇	僱	雇	他們錯
歷代志上	19	7	雇	雇	僱	雇	他們錯
歷代志上	23	26	抬	擡	抬	抬	我們錯
歷代志上	23	29	斗	鬥	斗	斗	我們錯
歷代志上	23	29	面	麵	麪	麵	他們錯
歷代志上	24	5	签	簽	籤	籤	我們錯
歷代志上	24	7	签	簽	籤	籤	我們錯
歷代志上	24	15	辟	辟	闢	闢	我們錯
歷代志上	24	31	签	簽	籤	籤	我們錯
歷代志上	25	8	签	簽	籤	籤	我們錯
歷代志上	25	9	签	簽	籤	籤	我們錯
歷代志上	26	13	签	簽	籤	籤	我們錯
歷代志上	26	14	签	簽	籤	籤	我們錯
歷代志上	27	1	周	周	週	週	我們錯
歷代志上	27	30	仑	崙	侖	崙	他們錯
歷代志上	28	7	恒	恒	恆	恆	我們錯
歷代志上	28	9	鉴	鑒	鑑	鑒	他們錯
歷代志上	29	27	仑	崙	侖	崙	他們錯
歷代志下	2	2	抬	擡	抬	抬	我們錯
歷代志下	2	7	朱	朱	硃	朱	他們錯
歷代志下	2	14	朱	朱	硃	朱	他們錯
歷代志下	2	18	抬	擡	抬	抬	我們錯
歷代志下	3	7	梁	梁	樑	樑	我們錯
歷代志下	3	14	朱	朱	硃	朱	他們錯
歷代志下	5	4	抬	擡	抬	抬	我們錯
歷代志下	5	7	抬	擡	抬	抬	我們錯
歷代志下	5	8	抬	擡	抬	抬	我們錯
歷代志下	5	8	杠	杠	槓	槓	我們錯
歷代志下	5	9	杠	杠	槓	槓	我們錯
歷代志下	6	37	回	回	迴	回	他們錯
歷代志下	6	38	尽	盡	儘	盡	他們錯
歷代志下	7	20	舍	舍	捨	捨	我們錯
歷代志下	8	5	仑	崙	侖	崙	他們錯
歷代志下	10	9	松	松	鬆	鬆	我們錯
歷代志下	11	6	恒	恒	恆	恆	我們錯
歷代志下	11	10	仑	崙	侖	崙	他們錯
歷代志下	15	11	只	隻	只	隻	他們錯
歷代志下	15	12	尽	盡	儘	盡	他們錯
歷代志下	18	7	托	托	託	託	我們錯
歷代志下	18	10	抵	抵	牴	牴	我們錯
歷代志下	24	11	抬	擡	抬	抬	我們錯
歷代志下	24	12	雇	雇	僱	雇	他們錯
歷代志下	24	22	鉴	鑒	鑑	鑒	他們錯
歷代志下	25	13	仑	崙	侖	崙	他們錯
歷代志下	28	18	仑	崙	侖	崙	他們錯
歷代志下	28	18	占	占	佔	佔	我們錯
歷代志下	28	19	干	干	幹	干	他們錯
歷代志下	30	24	只	隻	只	隻	他們錯
歷代志下	31	5	出	出	齣	出	他們錯
歷代志下	32	1	占	占	佔	佔	我們錯
歷代志下	32	11	饥	饑	飢	飢	我們錯
歷代志下	33	13	准	準	准	准	我們錯
歷代志下	33	15	并	並	併	並	他們錯
歷代志下	34	11	梁	梁	樑	樑	我們錯
歷代志下	34	13	抬	擡	抬	抬	我們錯
歷代志下	34	31	尽	盡	儘	盡	他們錯
歷代志下	35	3	抬	擡	抬	抬	我們錯
歷代志下	35	7	只	隻	只	隻	他們錯
歷代志下	35	9	只	隻	只	隻	他們錯
民數記	1	50	抬	擡	抬	抬	我們錯
民數記	4	6	杠	杠	槓	槓	我們錯
民數記	4	8	朱	朱	硃	朱	他們錯
民數記	4	8	杠	杠	槓	槓	我們錯
民數記	4	10	抬	擡	抬	抬	我們錯
民數記	4	11	杠	杠	槓	槓	我們錯
民數記	4	12	抬	擡	抬	抬	我們錯
民數記	4	14	杠	杠	槓	槓	我們錯
民數記	4	15	抬	擡	抬	抬	我們錯
民數記	4	19	抬	擡	抬	抬	我們錯
民數記	4	24	抬	擡	抬	抬	我們錯
民數記	4	25	抬	擡	抬	抬	我們錯
民數記	4	27	抬	擡	抬	抬	我們錯
民數記	4	31	抬	擡	抬	抬	我們錯
民數記	4	32	抬	擡	抬	抬	我們錯
民數記	4	47	抬	擡	抬	抬	我們錯
民數記	4	49	抬	擡	抬	抬	我們錯
民數記	5	2	症	癥	症	症	我們錯
民數記	5	15	面	麵	面	麵	他們錯
民數記	5	18	发	髮	發	髮	他們錯
民數記	5	19	背	背	揹	背	他們錯
民數記	5	20	背	背	揹	背	他們錯
民數記	5	29	背	背	揹	背	他們錯
民數記	6	3	干	乾	幹	乾	他們錯
民數記	6	5	发	髮	發	髮	他們錯
民數記	6	15	面	麵	麪	麵	他們錯
民數記	6	18	发	髮	發	髮	他們錯
民數記	7	9	抬	擡	抬	抬	我們錯
民數記	7	13	面	麵	麪	麵	他們錯
民數記	7	19	面	麵	麪	麵	他們錯
民數記	7	25	面	麵	麪	麵	他們錯
民數記	7	31	面	麵	麪	麵	他們錯
民數記	7	37	面	麵	麪	麵	他們錯
民數記	7	43	面	麵	麪	麵	他們錯
民數記	7	49	面	麵	麪	麵	他們錯
民數記	7	55	面	麵	麪	麵	他們錯
民數記	7	61	面	麵	麪	麵	他們錯
民數記	7	67	面	麵	麪	麵	他們錯
民數記	7	73	面	麵	麪	麵	他們錯
民數記	7	79	面	麵	麪	麵	他們錯
民數記	8	8	面	麵	麪	麵	他們錯
民數記	9	22	云	雲	云	雲	他們錯
民數記	10	17	抬	擡	抬	抬	我們錯
民數記	10	21	抬	擡	抬	抬	我們錯
民數記	11	4	欲	欲	慾	慾	我們錯
民數記	11	4	闲	閑	閒	閒	我們錯
民數記	11	31	刮	刮	颳	颳	我們錯
民數記	11	34	欲	欲	慾	慾	我們錯
民數記	13	22	仑	崙	侖	崙	他們錯
民數記	13	23	抬	擡	抬	抬	我們錯
民數記	13	23	杠	杠	槓	槓	我們錯
民數記	14	11	迹	跡	蹟	蹟	我們錯
民數記	14	22	迹	跡	蹟	蹟	我們錯
民數記	15	4	面	麵	麪	麵	他們錯
民數記	15	6	面	麵	麪	麵	他們錯
民數記	15	9	面	麵	麪	麵	他們錯
民數記	15	20	面	麵	面	麵	他們錯
民數記	15	21	面	麵	面	麵	他們錯
民數記	15	25	并	並	併	並	他們錯
民數記	18	27	谷	穀	谷	穀	他們錯
民數記	19	6	朱	朱	硃	朱	他們錯
民數記	21	8	杆	桿	杆	杆	我們錯
民數記	21	9	杆	桿	杆	杆	我們錯
民數記	21	32	占	占	佔	佔	我們錯
民數記	22	23	回	回	迴	回	他們錯
民數記	26	24	仑	崙	侖	崙	他們錯
民數記	28	5	面	麵	麪	麵	他們錯
民數記	28	9	面	麵	麪	麵	他們錯
民數記	28	12	面	麵	麪	麵	他們錯
民數記	28	13	面	麵	麪	麵	他們錯
民數記	28	20	面	麵	麪	麵	他們錯
民數記	28	28	面	麵	麪	麵	他們錯
民數記	29	3	面	麵	麪	麵	他們錯
民數記	29	9	面	麵	麪	麵	他們錯
民數記	29	14	面	麵	麪	麵	他們錯
民數記	29	18	并	並	併	並	他們錯
民數記	29	21	并	並	併	並	他們錯
民數記	29	24	并	並	併	並	他們錯
民數記	29	27	并	並	併	並	他們錯
民數記	29	30	并	並	併	並	他們錯
民數記	29	33	并	並	併	並	他們錯
民數記	29	37	并	並	併	並	他們錯
民數記	31	32	只	隻	只	隻	他們錯
民數記	32	39	占	占	佔	佔	我們錯
民數記	32	41	占	占	佔	佔	我們錯
民數記	32	42	占	占	佔	佔	我們錯
民數記	33	31	干	干	幹	干	他們錯
民數記	33	32	干	干	幹	干	他們錯
民數記	34	9	仑	崙	侖	崙	他們錯
民數記	35	30	几	幾	几	幾	他們錯
申命記	2	23	托	托	託	託	我們錯
申命記	3	14	占	占	佔	佔	我們錯
申命記	4	29	尽	盡	儘	盡	他們錯
申命記	4	34	迹	跡	蹟	蹟	我們錯
申命記	5	18	奸	奸	姦	姦	我們錯
申命記	6	5	尽	盡	儘	盡	他們錯
申命記	6	22	迹	跡	蹟	蹟	我們錯
申命記	7	15	症	癥	症	症	我們錯
申命記	7	19	迹	跡	蹟	蹟	我們錯
申命記	8	3	饥	饑	飢	飢	我們錯
申命記	10	6	干	干	幹	干	他們錯
申命記	10	8	抬	擡	抬	抬	我們錯
申命記	10	12	尽	盡	儘	盡	他們錯
申命記	11	3	迹	跡	蹟	蹟	我們錯
申命記	11	13	尽	盡	儘	盡	他們錯
申命記	11	14	谷	谷	穀	穀	我們錯
申命記	13	1	迹	跡	蹟	蹟	我們錯
申命記	13	2	迹	跡	蹟	蹟	我們錯
申命記	13	3	尽	盡	儘	盡	他們錯
申命記	14	13	鹯	鹯	鸇	鸇	我們錯
申命記	14	16	鸮	鸮	鴞	鴞	我們錯
申命記	14	17	鹚	鶿	鷀	鶿	他們錯
申命記	15	18	雇	雇	僱	雇	他們錯
申命記	16	1	注	註	注	注	我們錯
申命記	16	4	面	麵	面	麵	他們錯
申命記	16	13	谷	穀	谷	穀	他們錯
申命記	18	20	托	托	託	託	我們錯
申命記	18	22	托	托	託	託	我們錯
申命記	22	6	并	並	併	併	我們錯
申命記	22	8	杆	桿	杆	杆	我們錯
申命記	22	22	奸	奸	姦	姦	我們錯
申命記	22	22	并	並	併	併	我們錯
申命記	23	4	雇	雇	僱	雇	他們錯
申命記	23	13	铲	鏟	剷	鏟	他們錯
申命記	24	5	托	托	託	託	我們錯
申命記	24	5	闲	閑	閒	閒	我們錯
申命記	24	14	雇	雇	僱	雇	他們錯
申命記	25	4	谷	穀	谷	穀	他們錯
申命記	25	14	斗	鬥	斗	斗	我們錯
申命記	25	15	斗	鬥	斗	斗	我們錯
申命記	25	18	困	困	睏	困	他們錯
申命記	26	8	迹	跡	蹟	蹟	我們錯
申命記	26	16	尽	盡	儘	盡	他們錯
申命記	27	13	布	布	佈	布	他們錯
申命記	27	23	岳	嶽	岳	岳	我們錯
申命記	28	5	面	麵	麪	麵	他們錯
申命記	28	17	面	麵	麪	麵	他們錯
申命記	28	22	症	癥	症	症	我們錯
申命記	28	48	饥	饑	飢	飢	我們錯
申命記	29	3	迹	跡	蹟	蹟	我們錯
申命記	29	23	卤	鹵	滷	鹵	他們錯
申命記	30	2	尽	盡	儘	盡	他們錯
申命記	30	6	尽	盡	儘	盡	他們錯
申命記	30	9	尽	盡	儘	盡	他們錯
申命記	31	9	抬	擡	抬	抬	我們錯
申命記	31	21	念	念	唸	念	他們錯
申命記	31	25	抬	擡	抬	抬	我們錯
申命記	32	15	仑	崙	侖	崙	他們錯
申命記	32	24	饥	饑	飢	飢	我們錯
申命記	33	5	仑	崙	侖	崙	他們錯
申命記	33	17	抵	抵	牴	牴	我們錯
申命記	33	26	仑	崙	侖	崙	他們錯
申命記	34	11	迹	跡	蹟	蹟	我們錯
箴言	1	9	链	鏈	鍊	鍊	我們錯
箴言	1	23	回	回	迴	回	他們錯
箴言	2	13	舍	舍	捨	捨	我們錯
箴言	6	14	布	布	佈	布	他們錯
箴言	6	19	布	布	佈	布	他們錯
箴言	6	30	饥	饑	飢	飢	我們錯
箴言	8	18	恒	恒	恆	恆	我們錯
箴言	9	6	舍	舍	捨	捨	我們錯
箴言	10	3	饥	饑	飢	飢	我們錯
箴言	10	6	蒙	蒙	矇	蒙	他們錯
箴言	10	11	蒙	蒙	矇	蒙	他們錯
箴言	11	19	恒	恒	恆	恆	我們錯
箴言	11	23	干	干	幹	干	他們錯
箴言	11	25	舍	舍	捨	捨	我們錯
箴言	15	3	鉴	鑒	鑑	鑒	他們錯
箴言	15	10	舍	舍	捨	捨	我們錯
箴言	16	3	托	托	託	託	我們錯
箴言	16	33	签	簽	籤	籤	我們錯
箴言	17	1	干	乾	幹	乾	他們錯
箴言	17	3	炼	煉	鍊	煉	他們錯
箴言	18	18	签	簽	籤	籤	我們錯
箴言	19	15	饥	饑	飢	飢	我們錯
箴言	19	23	恒	恒	恆	恆	我們錯
箴言	20	10	斗	鬥	斗	斗	我們錯
箴言	20	27	鉴	鑒	鑑	鑒	他們錯
箴言	21	26	舍	舍	捨	捨	我們錯
箴言	22	11	上	上	的	上	他們錯
箴言	22	11	与	與	他	與	他們錯
箴言	22	11	为	為	上	為	他們錯
箴言	22	11	他	他	為	他	他們錯
箴言	22	11	必	必	與	必	他們錯
箴言	22	11	恩	恩	言	恩	他們錯
箴言	22	11	王	王	必	王	他們錯
箴言	22	11	的	的	恩	的	他們錯
箴言	23	31	咽	咽	嚥	咽	他們錯
箴言	23	34	杆	桿	杆	杆	我們錯
箴言	25	15	恒	恒	恆	恆	我們錯
箴言	25	20	碱	堿	鹼	鹼	我們錯
箴言	26	10	雇	雇	僱	雇	他們錯
箴言	26	17	干	干	幹	干	他們錯
箴言	27	7	饥	饑	飢	飢	我們錯
箴言	27	21	炼	煉	鍊	煉	他們錯
箴言	28	3	冲	沖	衝	沖	他們錯
箴言	28	12	志	誌	志	志	我們錯
箴言	28	17	背	背	揹	背	他們錯
箴言	30	16	并	並	併	並	他們錯
箴言	31	19	捻	撚	捻	撚	他們錯
箴言	31	21	朱	朱	硃	朱	他們錯
箴言	31	27	闲	閑	閒	閒	我們錯
箴言	31	30	艳	艷	豔	艷	他們錯
約伯記	2	4	舍	舍	捨	捨	我們錯
約伯記	3	17	困	困	睏	困	他們錯
約伯記	4	9	出	出	齣	出	他們錯
約伯記	5	2	痴	癡	痴	癡	他們錯
約伯記	5	5	饥	饑	飢	飢	我們錯
約伯記	5	8	托	托	託	託	我們錯
約伯記	5	10	于	於	于	於	他們錯
約伯記	7	1	雇	雇	僱	雇	他們錯
約伯記	7	2	雇	雇	僱	雇	他們錯
約伯記	7	18	鉴	鑒	鑑	鑒	他們錯
約伯記	7	19	咽	咽	嚥	咽	他們錯
約伯記	7	20	鉴	鑒	鑑	鑒	他們錯
約伯記	8	17	扎	紮	扎	扎	我們錯
約伯記	9	9	斗	鬥	斗	斗	我們錯
約伯記	9	24	蒙	蒙	矇	蒙	他們錯
約伯記	9	30	碱	堿	鹼	鹼	我們錯
約伯記	10	15	抬	擡	抬	抬	我們錯
約伯記	10	19	出	出	齣	出	他們錯
約伯記	13	25	秸	稭	秸	秸	我們錯
約伯記	14	6	雇	雇	僱	雇	他們錯
約伯記	16	7	困	困	睏	困	他們錯
約伯記	18	10	扣	扣	釦	扣	他們錯
約伯記	18	12	饥	饑	飢	飢	我們錯
約伯記	20	13	舍	舍	捨	捨	我們錯
約伯記	20	26	毁	毀	燬	毀	他們錯
約伯記	21	18	刮	刮	颳	颳	我們錯
約伯記	21	18	秸	稭	秸	秸	我們錯
約伯記	21	32	抬	擡	抬	抬	我們錯
約伯記	22	7	困	困	睏	困	他們錯
約伯記	22	7	饥	饑	飢	飢	我們錯
約伯記	22	11	蒙	蒙	矇	蒙	他們錯
約伯記	22	16	冲	沖	衝	沖	他們錯
約伯記	23	17	蒙	蒙	矇	蒙	他們錯
約伯記	24	5	糊	糊	餬	糊	他們錯
約伯記	24	10	抬	擡	抬	抬	我們錯
約伯記	24	10	饥	饑	飢	飢	我們錯
約伯記	24	15	奸	奸	姦	姦	我們錯
約伯記	24	15	蒙	蒙	矇	蒙	他們錯
約伯記	27	20	刮	刮	颳	颳	我們錯
約伯記	28	1	炼	煉	鍊	煉	他們錯
約伯記	28	2	镕	镕	鎔	鎔	我們錯
約伯記	28	24	鉴	鑒	鑑	鑒	他們錯
約伯記	29	25	吊	吊	弔	弔	我們錯
約伯記	30	3	饥	饑	飢	飢	我們錯
約伯記	34	21	注	註	注	注	我們錯
約伯記	34	23	鉴	鑒	鑑	鑒	他們錯
約伯記	37	11	布	布	佈	布	他們錯
約伯記	38	2	暗	暗	闇	暗	他們錯
約伯記	38	8	冲	沖	衝	衝	我們錯
約伯記	38	31	系	系	繫	繫	我們錯
約伯記	38	32	斗	鬥	斗	斗	我們錯
約伯記	39	1	岩	巖	岩	巖	他們錯
約伯記	39	12	谷	穀	谷	穀	他們錯
約伯記	39	28	岩	巖	岩	巖	他們錯
約伯記	40	13	蒙	蒙	矇	蒙	他們錯
約伯記	40	23	泛	泛	氾	泛	他們錯
約伯記	41	7	扎	紮	扎	扎	我們錯
約伯記	41	26	扎	紮	扎	扎	我們錯
約伯記	41	28	秸	稭	秸	秸	我們錯
約伯記	41	29	秸	稭	秸	秸	我們錯
約伯記	41	32	发	發	髮	髮	我們錯
約伯記	41	32	发	髮	發	發	我們錯
約書亞記	2	10	干	乾	幹	乾	他們錯
約書亞記	2	18	朱	朱	硃	朱	他們錯
約書亞記	2	21	朱	朱	硃	朱	他們錯
約書亞記	3	3	抬	擡	抬	抬	我們錯
約書亞記	3	6	抬	擡	抬	抬	我們錯
約書亞記	3	8	抬	擡	抬	抬	我們錯
約書亞記	3	13	抬	擡	抬	抬	我們錯
約書亞記	3	14	抬	擡	抬	抬	我們錯
約書亞記	3	17	抬	擡	抬	抬	我們錯
約書亞記	4	9	抬	擡	抬	抬	我們錯
約書亞記	4	10	抬	擡	抬	抬	我們錯
約書亞記	4	16	抬	擡	抬	抬	我們錯
約書亞記	4	18	抬	擡	抬	抬	我們錯
約書亞記	4	23	干	乾	幹	乾	他們錯
約書亞記	5	1	干	乾	幹	乾	他們錯
約書亞記	5	8	愈	愈	癒	癒	我們錯
約書亞記	5	11	谷	穀	谷	穀	他們錯
約書亞記	6	6	抬	擡	抬	抬	我們錯
約書亞記	6	12	抬	擡	抬	抬	我們錯
約書亞記	7	1	干	干	幹	干	他們錯
約書亞記	7	11	具	具	俱	具	他們錯
約書亞記	7	11	家	家	傢	家	他們錯
約書亞記	7	18	干	干	幹	干	他們錯
約書亞記	7	19	干	干	幹	干	他們錯
約書亞記	7	20	干	干	幹	干	他們錯
約書亞記	7	22	干	干	乾	干	他們錯
約書亞記	7	24	干	干	乾	干	他們錯
約書亞記	7	24	干	干	幹	干	他們錯
約書亞記	7	26	干	干	幹	干	他們錯
約書亞記	8	20	冲	沖	衝	沖	他們錯
約書亞記	8	33	抬	擡	抬	抬	我們錯
約書亞記	9	12	干	乾	幹	乾	他們錯
約書亞記	10	3	仑	崙	侖	崙	他們錯
約書亞記	10	3	咸	咸	鹹	咸	他們錯
約書亞記	10	5	仑	崙	侖	崙	他們錯
約書亞記	10	10	仑	崙	侖	崙	他們錯
約書亞記	10	11	仑	崙	侖	崙	他們錯
約書亞記	10	12	仑	崙	侖	崙	他們錯
約書亞記	10	23	仑	崙	侖	崙	他們錯
約書亞記	10	36	仑	崙	侖	崙	他們錯
約書亞記	10	37	仑	崙	侖	崙	他們錯
約書亞記	10	39	仑	崙	侖	崙	他們錯
約書亞記	11	1	仑	崙	侖	崙	他們錯
約書亞記	11	21	仑	崙	侖	崙	他們錯
約書亞記	12	10	仑	崙	侖	崙	他們錯
約書亞記	12	20	仑	崙	侖	崙	他們錯
約書亞記	14	13	仑	崙	侖	崙	他們錯
約書亞記	14	14	仑	崙	侖	崙	他們錯
約書亞記	14	15	仑	崙	侖	崙	他們錯
約書亞記	15	9	仑	崙	侖	崙	他們錯
約書亞記	15	10	仑	崙	侖	崙	他們錯
約書亞記	15	11	仑	崙	侖	崙	他們錯
約書亞記	15	13	仑	崙	侖	崙	他們錯
約書亞記	15	34	干	干	幹	干	他們錯
約書亞記	15	54	仑	崙	侖	崙	他們錯
約書亞記	16	3	仑	崙	侖	崙	他們錯
約書亞記	16	5	仑	崙	侖	崙	他們錯
約書亞記	18	6	了	了	瞭	了	他們錯
約書亞記	18	13	仑	崙	侖	崙	他們錯
約書亞記	18	14	仑	崙	侖	崙	他們錯
約書亞記	19	15	仑	崙	侖	崙	他們錯
約書亞記	19	15	恒	恒	恆	恆	我們錯
約書亞記	19	21	干	干	幹	干	他們錯
約書亞記	19	28	仑	崙	侖	崙	他們錯
約書亞記	19	42	仑	崙	侖	崙	他們錯
約書亞記	20	7	仑	崙	侖	崙	他們錯
約書亞記	21	11	仑	崙	侖	崙	他們錯
約書亞記	21	13	仑	崙	侖	崙	他們錯
約書亞記	21	15	仑	崙	侖	崙	他們錯
約書亞記	21	22	仑	崙	侖	崙	他們錯
約書亞記	21	24	仑	崙	侖	崙	他們錯
約書亞記	21	29	干	干	幹	干	他們錯
約書亞記	22	5	尽	盡	儘	盡	他們錯
約書亞記	22	20	干	干	幹	干	他們錯
約書亞記	24	17	迹	跡	蹟	蹟	我們錯
詩篇	3	3	抬	擡	抬	抬	我們錯
詩篇	4	1	弦	弦	絃	弦	他們錯
詩篇	6	1	弦	弦	絃	弦	他們錯
詩篇	6	6	困	困	睏	困	他們錯
詩篇	10	14	托	托	託	託	我們錯
詩篇	11	6	布	布	佈	布	他們錯
詩篇	15	3	里	裏	里	里	我們錯
詩篇	17	3	志	誌	志	志	我們錯
詩篇	17	3	鉴	鑒	鑑	鑒	他們錯
詩篇	18	2	岩	巖	岩	巖	他們錯
詩篇	18	15	出	出	齣	出	他們錯
詩篇	18	29	冲	沖	衝	衝	我們錯
詩篇	19	7	苏	蘇	甦	甦	我們錯
詩篇	22	8	托	托	託	託	我們錯
詩篇	22	14	镕	镕	鎔	鎔	我們錯
詩篇	23	3	苏	蘇	甦	甦	我們錯
詩篇	24	7	抬	擡	抬	抬	我們錯
詩篇	24	9	抬	擡	抬	抬	我們錯
詩篇	29	10	泛	泛	氾	泛	他們錯
詩篇	31	3	岩	巖	岩	巖	他們錯
詩篇	34	8	尝	嘗	嚐	嘗	他們錯
詩篇	37	5	托	托	託	託	我們錯
詩篇	37	21	舍	舍	捨	捨	我們錯
詩篇	37	34	抬	擡	抬	抬	我們錯
詩篇	44	21	鉴	鑒	鑑	鑒	他們錯
詩篇	45	8	弦	弦	絃	弦	他們錯
詩篇	46	6	镕	镕	鎔	鎔	我們錯
詩篇	48	12	周	周	週	周	他們錯
詩篇	50	12	饥	饑	飢	飢	我們錯
詩篇	50	18	奸	奸	姦	姦	我們錯
詩篇	54	1	弦	弦	絃	弦	他們錯
詩篇	55	1	弦	弦	絃	弦	他們錯
詩篇	55	10	奸	奸	姦	奸	他們錯
詩篇	58	3	出	出	齣	出	他們錯
詩篇	58	9	刮	刮	颳	颳	我們錯
詩篇	59	4	鉴	鑒	鑑	鑒	他們錯
詩篇	61	1	弦	弦	絃	弦	他們錯
詩篇	65	7	哗	嘩	譁	嘩	他們錯
詩篇	65	8	迹	跡	蹟	蹟	我們錯
